osmid|region
60189|Россия
144764|Алтайский край
147166|Амурская область
140337|Архангельская область
112819|Астраханская область
83184|Белгородская область
81997|Брянская область
72197|Владимирская область
77665|Волгоградская область
115106|Вологодская область
72181|Воронежская область
147167|Еврейская автономная область
145730|Забайкальский край
85617|Ивановская область
145454|Иркутская область
109879|Кабардино-Балкарская Республика
103906|Калининградская область
81995|Калужская область
151233|Камчатский край
144763|Кемеровская область
115100|Кировская область
85963|Костромская область
108082|Краснодарский край
190090|Красноярский край
140290|Курганская область
72223|Курская область
176095|Ленинградская область
72169|Липецкая область
151228|Магаданская область
102269|Москва
51490|Московская область
2099216|Мурманская область
0|Не определено
274048|Ненецкий автономный округ
72195|Нижегородская область
89331|Новгородская область
140294|Новосибирская область
140292|Омская область
77669|Оренбургская область
72224|Орловская область
72182|Пензенская область
115135|Пермский край
151225|Приморский край
155262|Псковская область
253256|Республика Адыгея
145194|Республика Алтай (Горный Алтай)
77677|Республика Башкортостан
145729|Республика Бурятия
109876|Республика Дагестан
253252|Республика Ингушетия
108083|Республика Калмыкия
109878|Республика Карачаево-Черкессия
393980|Республика Карелия
115136|Республика Коми
115114|Республика Марий Эл
72196|Республика Мордовия
151234|Республика Саха (Якутия)
110032|Республика Северная Осетия-Алания
79374|Республика Татарстан
145195|Республика Тыва
190911|Республика Хакасия
85606|Ростовская область
71950|Рязанская область
72194|Самарская область
421007|Санкт-Петербург
72193|Саратовская область
394235|Сахалинская область
79379|Свердловская область
81996|Смоленская область
108081|Ставропольский край
72180|Тамбовская область
2095259|Тверская область
140295|Томская область
81993|Тульская область
140291|Тюменская область
115134|Удмуртская Республика
72192|Ульяновская область
151223|Хабаровский край
140296|Ханты-Мансийский автономный округ — Югра
77687|Челябинская область
109877|Чеченская Республика
80513|Чувашская Республика
151231|Чукотский автономный округ
191706|Ямало-Ненецкий автономный округ
81994|Ярославская область
